state_id,state_id,Geographic Area Name,Estimate!!Total!!Total population,Estimate!!Total!!Total population!!AGE!!Under 5 years,Estimate!!Total!!Total population!!AGE!!5 to 9 years,Estimate!!Total!!Total population!!AGE!!10 to 14 years,Estimate!!Total!!Total population!!AGE!!15 to 19 years,Estimate!!Total!!Total population!!AGE!!20 to 24 years,Estimate!!Total!!Total population!!AGE!!25 to 29 years,Estimate!!Total!!Total population!!AGE!!30 to 34 years,Estimate!!Total!!Total population!!AGE!!35 to 39 years,Estimate!!Total!!Total population!!AGE!!40 to 44 years,Estimate!!Total!!Total population!!AGE!!45 to 49 years,Estimate!!Total!!Total population!!AGE!!50 to 54 years,Estimate!!Total!!Total population!!AGE!!55 to 59 years,Estimate!!Total!!Total population!!AGE!!60 to 64 years,Estimate!!Total!!Total population!!AGE!!65 to 69 years,Estimate!!Total!!Total population!!AGE!!70 to 74 years,Estimate!!Total!!Total population!!AGE!!75 to 79 years,Estimate!!Total!!Total population!!AGE!!80 to 84 years,Estimate!!Total!!Total population!!AGE!!85 years and over,age_65+,Estimate!!Total!!Total population!!SUMMARY INDICATORS!!Median age (years),Estimate!!Total!!Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females),Estimate!!Male!!Total population,Estimate!!Male!!Total population!!AGE!!Under 5 years,Estimate!!Male!!Total population!!AGE!!5 to 9 years,Estimate!!Male!!Total population!!AGE!!10 to 14 years,Estimate!!Male!!Total population!!AGE!!15 to 19 years,Estimate!!Male!!Total population!!AGE!!20 to 24 years,Estimate!!Male!!Total population!!AGE!!25 to 29 years,Estimate!!Male!!Total population!!AGE!!30 to 34 years,Estimate!!Male!!Total population!!AGE!!35 to 39 years,Estimate!!Male!!Total population!!AGE!!40 to 44 years,Estimate!!Male!!Total population!!AGE!!45 to 49 years,Estimate!!Male!!Total population!!AGE!!50 to 54 years,Estimate!!Male!!Total population!!AGE!!55 to 59 years,Estimate!!Male!!Total population!!AGE!!60 to 64 years,Estimate!!Male!!Total population!!AGE!!65 to 69 years,Estimate!!Male!!Total population!!AGE!!70 to 74 years,Estimate!!Male!!Total population!!AGE!!75 to 79 years,Estimate!!Male!!Total population!!AGE!!80 to 84 years,Estimate!!Male!!Total population!!AGE!!85 years and over,Estimate!!Female!!Total population,Estimate!!Female!!Total population!!AGE!!Under 5 years,Estimate!!Female!!Total population!!AGE!!5 to 9 years,Estimate!!Female!!Total population!!AGE!!10 to 14 years,Estimate!!Female!!Total population!!AGE!!15 to 19 years,Estimate!!Female!!Total population!!AGE!!20 to 24 years,Estimate!!Female!!Total population!!AGE!!25 to 29 years,Estimate!!Female!!Total population!!AGE!!30 to 34 years,Estimate!!Female!!Total population!!AGE!!35 to 39 years,Estimate!!Female!!Total population!!AGE!!40 to 44 years,Estimate!!Female!!Total population!!AGE!!45 to 49 years,Estimate!!Female!!Total population!!AGE!!50 to 54 years,Estimate!!Female!!Total population!!AGE!!55 to 59 years,Estimate!!Female!!Total population!!AGE!!60 to 64 years,Estimate!!Female!!Total population!!AGE!!65 to 69 years,Estimate!!Female!!Total population!!AGE!!70 to 74 years,Estimate!!Female!!Total population!!AGE!!75 to 79 years,Estimate!!Female!!Total population!!AGE!!80 to 84 years,Estimate!!Female!!Total population!!AGE!!85 years and over
0400000US28,28,Mississippi,2976149,179497,190277,211264,214658,200789,190095,178132,190629,188981,183638,177919,192721,190745,162197,126867,90225,53094,54421,486804,38,93,1434957,90762,94244,107137,110926,103222,92409,86047,90800,92039,88500,85739,91620,90167,74489,58201,40143,21492,17020,1541192,88735,96033,104127,103732,97567,97686,92085,99829,96942,95138,92180,101101,100578,87708,68666,50082,31602,37401
0400000US29,29,Missouri,6137428,365451,380818,391770,398235,394992,421412,402310,402944,353765,362748,367897,420294,416849,338605,270645,199143,127889,121661,1057943,39,96,3008169,186251,197748,199258,203626,199709,210654,202525,201992,175771,178397,181189,205449,198802,160021,122758,86101,52694,45224,3129259,179200,183070,192512,194609,195283,210758,199785,200952,177994,184351,186708,214845,218047,178584,147887,113042,75195,76437
0400000US30,30,Montana,1068778,58850,61823,67783,70013,68359,68563,64556,68267,64205,58108,59070,72614,78658,70563,55925,39674,20787,20960,207909,41,101,537170,31120,33055,32944,36917,35688,34834,32603,35849,33272,29008,29376,34248,39072,34888,27423,19760,8833,8280,531608,27730,28768,34839,33096,32671,33729,31953,32418,30933,29100,29694,38366,39586,35675,28502,19914,11954,12680
0400000US31,31,Nebraska,1934408,129551,131863,136832,131674,132718,130734,127197,131476,111576,106983,109116,119981,122412,99565,79500,52457,39385,41388,312295,37,100,966650,67748,67190,70679,68291,68437,65050,65583,66078,57568,54714,55768,58048,61073,47643,37416,24601,16300,14463,967758,61803,64673,66153,63383,64281,65684,61614,65398,54008,52269,53348,61933,61339,51922,42084,27856,23085,26925
0400000US32,32,Nevada,3080156,184168,185324,206681,184666,182851,224382,224673,217006,193315,201188,194916,197914,184853,166724,139119,95971,53613,42792,498219,38,101,1544779,94610,92778,107967,94115,93693,114131,115321,109751,98242,101737,99155,97978,91077,80592,64613,46089,24975,17955,1535377,89558,92546,98714,90551,89158,110251,109352,107255,95073,99451,95761,99936,93776,86132,74506,49882,28638,24837
0400000US33,33,New Hampshire,1359711,64200,67001,76710,87386,84664,85938,84792,79575,79410,86043,96086,110803,103956,83687,68363,43087,29143,28867,253147,43,98,672960,32816,35355,37664,43631,44283,45463,43142,38637,40817,42509,48113,54553,50930,41466,31589,19516,12070,10406,686751,31384,31646,39046,43755,40381,40475,41650,40938,38593,43534,47973,56250,53026,42221,36774,23571,17073,18461
0400000US34,34,New Jersey,8882190,511925,524592,563204,555206,536034,576949,571509,576841,567263,584884,615092,620252,603364,464475,372527,264771,179292,194010,1475075,40,96,4342591,261545,271967,283870,286521,272614,292669,289356,286160,282837,287822,299463,299622,290431,218471,167409,112505,73218,66111,4539599,250380,252625,279334,268685,263420,284280,282153,290681,284426,297062,315629,320630,312933,246004,205118,152266,106074,127899
0400000US35,35,New Mexico,2096829,116978,130751,146207,139186,137719,143017,135610,141554,120293,117990,117085,132366,140343,124818,99193,70327,42894,40498,377730,39,98,1036708,60204,67458,72416,75963,69445,72937,68957,70216,62584,58492,56419,63747,65364,57999,47634,31681,19657,15535,1060121,56774,63293,73791,63223,68274,70080,66653,71338,57709,59498,60666,68619,74979,66819,51559,38646,23237,24963
0400000US36,36,New York,19453561,1119825,1052163,1164223,1187268,1265348,1459455,1405946,1256240,1173866,1196601,1275066,1319671,1281921,1018302,845590,583528,408916,439632,3295968,39,95,9450810,573384,540368,596605,606840,632805,728335,707042,625275,572584,581534,619252,633557,611428,477776,379081,251402,158705,154837,10002751,546441,511795,567618,580428,632543,731120,698904,630965,601282,615067,655814,686114,670493,540526,466509,332126,250211,284795
0400000US37,37,North Carolina,10488084,596583,615543,686687,713066,689128,715026,686637,657180,655481,692224,670976,700481,658137,562108,485382,319614,199537,184294,1750935,39,94,5094327,308544,315965,346689,359439,365282,352172,333734,315351,322114,337091,327413,332743,312109,256387,221189,138247,82760,67098,5393757,288039,299578,339998,353627,323846,362854,352903,341829,333367,355133,343563,367738,346028,305721,264193,181367,116777,117196
0400000US38,38,North Dakota,762062,50567,48953,50415,46933,60819,63936,53638,54162,41875,37071,39457,47196,46863,40657,26624,20997,13824,18075,120177,36,104,388339,26786,24892,25861,23934,32351,34088,28495,28121,22468,18582,20206,22647,24736,20255,12926,10030,5799,6162,373723,23781,24061,24554,22999,28468,29848,25143,26041,19407,18489,19251,24549,22127,20402,13698,10967,8025,11913
0400000US39,39,Ohio,11689100,686672,690188,752389,766270,743776,794615,750102,721158,682990,718103,733236,793376,812677,664701,522940,369145,243790,242972,2043548,40,96,5732207,355506,353621,383722,390109,378281,402444,375956,354517,343040,357631,360877,389514,387076,314028,240416,161085,99286,85098,5956893,331166,336567,368667,376161,365495,392171,374146,366641,339950,360472,372359,403862,425601,350673,282524,208060,144504,157874
0400000US40,40,Oklahoma,3956971,251083,262753,280191,273627,270073,271492,265507,264485,237031,230154,222566,249998,242789,203397,165066,114531,77955,74273,635222,37,98,1962477,130048,137449,143452,140858,141501,138539,133396,132251,119490,114301,110400,121182,115642,96262,75770,53899,31868,26169,1994494,121035,125304,136739,132769,128572,132953,132111,132234,117541,115853,112166,128816,127147,107135,89296,60632,46087,48104
0400000US41,41,Oregon,4217737,223364,235390,254889,249830,266146,296394,298191,304423,274423,262354,248667,259855,276315,255064,212195,132444,82106,85687,767496,40,98,2089676,114965,120858,131187,126875,136534,151212,152586,150976,139026,132344,125315,127897,130156,120608,98781,58773,39833,31750,2128061,108399,114532,123702,122955,129612,145182,145605,153447,135397,130010,123352,131958,146159,134456,113414,73671,42273,53937
